Year,Team,Abbreviation,Kickoffs,Yds,Touchbacks,TB(pct),Ret,Ret_Avg,OSK,OSK_Rec,OOB,Touchdowns_Allowed
2018,Buccaneers,TB,86,5349,51,59.3,34,21,2,0,0,0
2018,Cardinals,ARI,56,3534,28,50,27,21.6,1,0,1,0
2018,Chargers,LAC,88,5526,27,30.7,61,21.7,0,0,0,0
2018,Chiefs,KC,111,7130,72,64.9,36,22.5,1,0,3,0
2018,Colts,IND,88,5435,59,67,27,22,2,0,0,0
2018,Cowboys,DAL,77,4984,52,67.5,25,26.5,0,0,0,0
2018,Dolphins,MIA,70,4432,55,78.6,13,26.1,1,0,1,1
2018,Eagles,PHI,82,5210,57,69.5,24,22.5,1,0,0,0
2018,Falcons,ATL,89,5578,51,57.3,36,22.7,2,0,0,0
2018,Giants,NYG,85,5254,51,60,28,20.4,4,1,3,0
2018,Jaguars,JAX,64,3908,41,64.1,21,17.8,2,1,0,0
2018,Jets,NYJ,83,5311,60,72.3,23,23.4,0,0,0,0
2018,Lions,DET,79,4797,37,46.8,37,22.6,5,1,0,0
2018,Packers,GB,84,5229,41,48.8,40,25.6,3,0,0,1
2018,Panthers,CAR,78,4938,60,76.9,17,23.9,1,0,0,0
2018,Patriots,NE,93,5783,50,53.8,42,24.6,0,0,0,0
2018,Raiders,LV,71,4350,29,40.8,39,23.6,3,0,1,0
2018,Rams,LAR,107,6849,77,72,29,22.5,0,0,1,0
2018,Ravens,BAL,92,5799,58,63,32,23.3,1,0,1,0
2018,Commanders,WAS,70,4443,56,80,13,22.7,1,0,0,0
2018,Saints,NO,103,6598,64,62.1,39,22.7,0,0,0,0
2018,Seahawks,SEA,83,5082,42,50.6,37,24.8,3,0,1,1
2018,Steelers,PIT,85,5328,50,58.8,35,20.8,0,0,0,0
2018,Texans,HOU,92,5885,58,63,33,20.7,1,0,0,0
2018,Titans,TEN,72,4536,45,62.5,25,27.8,2,0,0,1
2018,Vikings,MIN,79,4791,44,55.7,31,23.3,4,0,2,0
2019,49ers,SF,98,6220,49,50,48,21.8,0,0,1,0
2019,Bears,CHI,67,4166,36,53.7,27,25,2,1,3,0
2019,Bengals,CIN,71,4308,46,64.8,19,21.1,5,1,1,0
2019,Bills,BUF,74,4579,42,56.8,30,23,2,0,0,1
2019,Broncos,DEN,72,4634,55,76.4,17,26.8,0,0,0,0
2019,Browns,CLE,79,4934,30,38,46,20.4,2,0,2,0
2019,Buccaneers,TB,98,6317,88,89.8,9,23,1,0,1,0
2019,Cardinals,ARI,83,5302,45,54.2,36,20.6,0,0,2,0
2019,Chargers,LAC,75,4647,36,48,36,24.5,3,0,0,1
2019,Chiefs,KC,98,6157,60,61.2,37,19.6,1,0,0,0
2019,Colts,IND,79,5101,60,76,19,24.7,0,0,0,0
2019,Cowboys,DAL,92,5656,51,55.4,35,23.3,4,0,3,0
2019,Dolphins,MIA,73,4424,49,67.1,20,27,4,1,0,1
2019,Eagles,PHI,81,5073,52,64.2,27,23.8,2,0,0,1
2019,Falcons,ATL,87,5180,47,54,31,22.3,7,2,4,0
2019,Giants,NYG,72,4519,50,69.4,20,18,1,0,2,0
2019,Jaguars,JAX,76,4583,39,51.3,32,21.6,5,0,0,0
2019,Jets,NYJ,68,4117,32,47.1,33,19.3,3,0,0,0
2019,Lions,DET,80,4938,25,31.2,52,24.7,2,1,1,1
2019,Packers,GB,79,5068,49,62,29,24.2,0,0,1,0
2019,Panthers,CAR,76,4658,66,86.8,5,20.4,5,1,0,0
2019,Patriots,NE,92,5777,59,64.1,29,20.9,2,0,3,0
2019,Raiders,LV,71,4496,38,53.5,33,20.9,1,0,0,0
2019,Rams,LAR,85,5429,65,76.5,17,27.5,1,0,3,0
2019,Ravens,BAL,106,6646,57,53.8,48,21.5,1,0,0,1
